synth_idx,src_a,src_b,lambda,soil,pipe,S_pct,T_pct,M_pct,B_pct
0,54,25,0.434,Sand,"4""",7.13,14.78,17.32,18.97
1,97,34,0.496,Sand,"4""",7.68,16.62,18.46,22.31
2,23,12,0.416,Sand,"2""",7.25,13.96,18.57,17.47
3,8,46,0.651,Sand,"2""",8.89,15.55,21.1,17.73
4,59,64,0.638,Sand,"4""",7.68,18.03,19.14,21.57
5,29,63,0.33,Sand,"2""",8.5,18.07,18.39,17.97
6,26,107,0.462,Sand,"2""",14.16,23.51,25.55,27.51
7,67,25,0.694,Clay,"4""",8.08,16.28,18.14,18.3
8,14,13,0.37,Sand,"2""",4.95,11.63,16.37,14.94
9,100,80,0.38,Sand,"4""",16.48,17.6,19.97,23.99
10,86,49,0.535,Clay,"4""",17.78,23.18,26.7,29.36
11,9,1,0.301,Sand,"2""",6.64,11.76,17.18,14.91
12,82,107,0.503,Clay,"4""",19.8,20.97,22.32,26.63
13,67,94,0.402,Clay,"4""",7.21,16.15,19.24,18.32
14,87,76,0.584,Clay,"4""",16.73,20.23,21.83,27.28
15,83,6,0.436,Clay,"4""",17.21,13.27,16.26,17.44
16,25,11,0.6,Sand,"2""",6.4,12.62,16.22,16.56
17,55,13,0.395,Sand,"4""",5.25,15.28,18.0,15.69
18,49,83,0.579,Sand,"4""",16.32,21.46,25.87,27.54
19,80,48,0.328,Clay,"4""",10.61,15.12,16.04,18.6
20,78,17,0.513,Clay,"4""",13.62,13.78,16.4,19.35
21,95,58,0.36,Sand,"4""",6.28,17.11,18.58,21.26
22,61,77,0.389,Sand,"4""",10.37,17.38,17.27,21.81
23,53,50,0.534,Sand,"4""",10.42,20.13,23.0,25.98
24,55,61,0.603,Sand,"4""",3.88,17.55,17.13,16.53
25,85,50,0.348,Clay,"4""",15.11,21.54,24.63,28.35
26,83,60,0.5,Clay,"4""",13.6,17.95,19.75,22.95
27,5,19,0.673,Sand,"2""",5.3,11.72,16.88,15.7
28,67,57,0.519,Clay,"4""",9.29,19.99,21.61,23.73
29,78,24,0.579,Clay,"4""",15.93,15.53,18.48,20.7
30,17,89,0.699,Sand,"2""",8.67,13.75,16.74,19.26
31,83,63,0.376,Clay,"4""",13.21,17.66,17.84,19.89
32,84,10,0.398,Clay,"4""",11.91,18.68,21.56,23.73
33,7,54,0.433,Sand,"2""",11.97,27.45,23.03,21.67
34,100,37,0.677,Sand,"4""",5.39,16.96,18.67,22.06
35,11,74,0.439,Sand,"2""",14.18,24.44,21.28,31.22
36,26,85,0.413,Sand,"2""",16.05,21.71,22.98,26.38
37,42,34,0.62,Sand,"4""",6.43,16.3,17.62,21.93
38,28,57,0.44,Sand,"2""",8.68,19.03,22.47,23.87
39,35,20,0.434,Sand,"4""",7.96,15.17,19.16,18.91
40,94,106,0.607,Sand,"2""",12.1,19.07,22.11,23.11
41,27,77,0.664,Sand,"2""",9.69,18.53,20.32,20.88
42,34,52,0.451,Sand,"4""",8.19,16.82,18.45,22.04
43,91,16,0.504,Sand,"2""",6.27,13.78,18.59,18.08
44,104,11,0.491,Clay,"4""",16.09,21.61,23.24,24.53
45,0,81,0.46,Sand,"2""",13.65,13.26,15.74,19.95
46,25,28,0.408,Sand,"2""",6.89,13.95,18.4,17.16
47,19,69,0.355,Sand,"2""",8.68,18.63,20.6,20.74
48,37,34,0.543,Sand,"4""",4.74,12.81,13.73,16.44
49,68,83,0.353,Clay,"4""",16.07,17.48,18.72,21.82
50,67,66,0.636,Clay,"4""",12.31,18.26,18.97,19.11
51,51,83,0.573,Sand,"4""",16.47,18.95,21.67,25.61
52,1,8,0.454,Sand,"2""",9.05,14.82,20.56,17.17
53,54,43,0.578,Sand,"4""",7.5,18.42,19.57,23.44
54,20,32,0.639,Sand,"2""",6.68,14.53,20.44,18.89
55,73,27,0.394,Clay,"4""",11.97,25.03,23.29,28.52
56,35,42,0.63,Sand,"4""",7.0,15.48,16.8,20.1
57,5,44,0.529,Sand,"2""",4.58,13.11,16.26,17.45
58,103,90,0.423,Clay,"4""",11.47,18.91,21.58,20.65
59,79,14,0.407,Clay,"4""",11.51,12.13,15.59,17.03
60,66,105,0.658,Clay,"4""",19.47,21.24,21.48,22.6
61,70,10,0.46,Clay,"4""",13.51,17.37,20.53,19.95
62,74,80,0.657,Clay,"4""",20.86,27.17,22.68,35.51
63,97,61,0.367,Sand,"4""",5.59,17.94,18.66,22.34
64,88,47,0.588,Clay,"4""",13.08,17.3,19.17,22.8
65,67,17,0.618,Clay,"4""",7.32,15.28,17.39,17.87
66,104,89,0.335,Clay,"4""",20.58,24.18,24.74,29.34
67,107,19,0.473,Clay,"4""",13.82,20.81,24.3,25.78
68,91,21,0.318,Sand,"2""",10.77,16.1,22.47,20.4
69,53,23,0.384,Sand,"4""",9.12,16.33,19.95,20.4
70,56,20,0.42,Sand,"4""",10.51,19.2,24.43,21.64
71,77,39,0.511,Clay,"4""",13.97,20.01,22.9,27.56
72,17,34,0.418,Sand,"2""",5.12,11.74,13.78,16.1
73,4,105,0.406,Sand,"2""",14.83,20.2,21.84,23.44
74,68,14,0.531,Clay,"4""",6.15,14.26,16.62,16.25
75,28,73,0.556,Sand,"2""",12.87,23.98,22.97,28.89
76,75,58,0.555,Clay,"4""",7.22,19.19,19.55,23.1
77,18,25,0.664,Sand,"2""",12.77,31.03,28.72,21.38
78,83,30,0.511,Clay,"4""",13.75,15.52,18.84,20.85
79,58,1,0.425,Sand,"4""",6.35,13.28,16.75,17.6
80,41,50,0.459,Sand,"4""",9.18,20.66,24.82,28.98
81,48,79,0.412,Sand,"4""",15.54,15.89,16.81,20.32
82,14,98,0.373,Sand,"2""",5.69,15.76,18.87,21.39
83,20,8,0.561,Sand,"2""",10.15,17.71,24.08,20.52
84,26,82,0.447,Sand,"2""",14.99,18.7,21.32,23.78
85,50,103,0.649,Sand,"4""",15.14,24.38,27.67,28.91
86,20,44,0.676,Sand,"2""",7.76,16.66,21.27,21.11
87,14,77,0.486,Sand,"2""",9.42,13.53,15.97,18.36
88,49,16,0.492,Sand,"4""",8.42,17.43,22.1,22.31
89,48,25,0.345,Sand,"4""",5.52,12.6,15.12,15.94
90,37,90,0.595,Sand,"4""",4.1,12.01,14.45,15.49
91,103,3,0.647,Clay,"4""",15.36,22.83,24.37,23.73
92,83,58,0.436,Clay,"4""",13.03,17.84,19.64,23.71
93,55,82,0.359,Sand,"4""",14.66,17.21,18.32,20.22
94,34,43,0.346,Sand,"4""",5.83,16.1,17.32,21.38
95,48,31,0.381,Sand,"4""",5.47,13.99,17.31,18.49
96,54,59,0.457,Sand,"4""",8.0,18.42,19.81,23.37
97,52,72,0.578,Sand,"4""",15.08,28.05,24.29,33.21
98,95,107,0.55,Sand,"4""",10.9,19.19,20.04,22.46
99,26,85,0.377,Sand,"2""",16.53,21.74,22.87,26.49
100,105,56,0.404,Clay,"4""",16.67,24.77,27.22,26.25
