synth_idx,src_a,src_b,lambda,soil,pipe,S_pct,T_pct,M_pct,B_pct
0,54,86,0.555,Sand,"4""",13.09,19.52,20.73,24.45
1,70,102,0.477,Clay,"4""",15.54,32.06,24.38,34.03
2,43,99,0.366,Sand,"4""",7.0,19.09,21.36,26.0
3,4,53,0.488,Sand,"2""",6.11,13.77,16.09,18.51
4,62,39,0.358,Sand,"4""",12.36,26.37,27.43,27.17
5,2,33,0.628,Sand,"2""",5.5,10.5,13.71,14.21
6,29,78,0.493,Sand,"2""",14.7,15.72,18.84,20.78
7,90,30,0.601,Sand,"2""",6.65,15.01,21.07,19.71
8,50,75,0.348,Sand,"4""",9.94,18.23,20.39,24.33
9,63,49,0.334,Clay,"4""",11.66,22.63,26.8,26.46
10,104,24,0.64,Clay,"4""",16.75,27.7,30.27,28.32
11,24,69,0.474,Sand,"2""",8.41,21.78,25.97,22.71
12,91,16,0.61,Sand,"2""",10.59,25.79,26.92,21.88
13,81,99,0.34,Clay,"4""",11.92,18.39,20.42,25.02
14,41,30,0.395,Sand,"4""",5.94,15.15,20.27,22.04
15,28,80,0.664,Sand,"2""",12.67,17.33,19.93,19.91
16,29,60,0.347,Sand,"2""",6.35,16.56,18.84,21.01
17,45,94,0.515,Sand,"4""",5.9,15.99,18.94,20.28
18,69,80,0.411,Clay,"4""",16.98,17.58,19.28,22.14
19,48,81,0.42,Sand,"4""",14.4,15.75,16.78,20.66
20,15,57,0.32,Sand,"2""",6.91,16.72,19.33,22.61
21,103,46,0.572,Clay,"4""",14.87,24.49,25.14,26.09
22,42,10,0.319,Sand,"4""",6.95,17.18,21.97,22.56
23,96,102,0.434,Sand,"4""",8.48,22.11,23.2,27.56
24,20,59,0.514,Sand,"2""",9.61,16.76,20.88,21.6
25,30,65,0.689,Sand,"2""",7.76,13.51,17.3,17.08
26,83,97,0.641,Clay,"4""",16.5,18.04,20.27,24.96
27,30,48,0.495,Sand,"2""",3.86,12.87,15.59,16.3
28,96,4,0.626,Sand,"4""",7.82,16.44,20.18,23.4
29,45,73,0.439,Sand,"4""",12.92,25.31,21.5,33.34
30,49,18,0.313,Sand,"4""",10.41,19.3,25.33,24.66
31,0,81,0.383,Sand,"2""",14.61,13.85,16.2,19.8
32,45,73,0.323,Sand,"4""",14.4,26.95,22.09,35.53
33,33,61,0.429,Sand,"4""",4.13,14.81,14.77,17.97
34,59,45,0.513,Sand,"4""",6.67,17.76,19.32,23.21
35,102,52,0.438,Clay,"4""",8.8,21.0,21.39,25.46
36,1,20,0.511,Sand,"2""",7.26,11.92,17.2,16.53
37,90,98,0.503,Sand,"2""",8.01,18.64,22.96,24.19
38,43,28,0.404,Sand,"4""",7.3,18.13,20.64,21.58
39,57,54,0.641,Sand,"4""",7.89,19.13,20.55,24.42
40,50,9,0.464,Sand,"4""",10.41,19.37,25.45,23.93
41,52,58,0.381,Sand,"4""",8.53,19.11,20.75,24.37
42,89,98,0.523,Sand,"2""",8.52,19.32,25.03,24.15
43,102,101,0.535,Clay,"4""",6.54,20.62,20.65,25.05
44,106,62,0.54,Clay,"4""",15.29,25.29,24.62,29.94
45,64,103,0.588,Clay,"4""",17.79,22.75,23.4,23.48
46,75,6,0.467,Clay,"4""",12.14,13.46,15.86,17.21
47,101,70,0.372,Sand,"4""",17.88,33.25,24.17,35.48
48,100,85,0.673,Sand,"4""",11.07,19.78,21.49,25.91
49,107,46,0.559,Clay,"4""",13.38,21.7,22.63,26.44
50,5,54,0.353,Sand,"2""",6.43,15.07,16.67,18.74
51,3,15,0.381,Sand,"2""",5.52,10.06,14.41,14.48
52,62,51,0.463,Sand,"4""",11.06,22.55,23.27,27.68
53,12,10,0.542,Sand,"2""",7.14,14.87,19.18,18.48
54,93,93,0.695,Sand,"2""",6.0,14.7,19.2,17.6
55,82,32,0.396,Clay,"4""",9.95,14.06,15.48,18.49
56,13,28,0.584,Sand,"2""",6.62,15.09,18.45,16.76
57,13,1,0.672,Sand,"2""",5.05,11.73,15.76,15.05
58,11,4,0.454,Sand,"2""",4.95,11.36,14.66,15.7
59,36,91,0.583,Sand,"4""",5.31,14.28,17.13,18.01
60,91,40,0.364,Sand,"2""",10.76,19.96,25.51,27.59
61,32,24,0.468,Sand,"4""",5.87,19.21,24.2,20.78
