synth_idx,src_a,src_b,lambda,soil,pipe,S_pct,T_pct,M_pct,B_pct
0,72,13,0.335,Clay,"4""",10.96,15.24,17.97,17.41
1,13,10,0.59,Sand,"2""",6.41,13.59,17.24,16.58
2,88,105,0.384,Clay,"4""",21.5,26.22,26.21,29.25
3,27,10,0.478,Sand,"2""",7.62,19.35,25.09,21.43
4,71,35,0.407,Clay,"4""",5.53,14.78,15.84,17.77
5,43,49,0.343,Sand,"4""",10.93,22.56,27.22,28.37
6,9,86,0.615,Sand,"2""",11.4,17.92,19.16,22.8
7,104,12,0.569,Clay,"4""",17.02,22.52,24.49,24.97
8,57,38,0.618,Sand,"4""",8.37,16.24,16.55,15.43
9,17,65,0.48,Sand,"2""",6.37,17.83,18.46,21.95
10,107,69,0.41,Clay,"4""",14.13,21.38,22.3,24.41
11,92,89,0.576,Clay,"4""",19.2,21.56,23.43,27.11
12,1,6,0.443,Sand,"2""",9.78,15.07,21.0,17.34
13,17,45,0.575,Sand,"2""",4.13,11.25,13.92,15.1
14,10,95,0.354,Sand,"2""",7.0,15.42,20.01,19.44
15,36,66,0.44,Sand,"4""",6.89,16.01,16.14,17.2
16,43,99,0.637,Sand,"4""",5.31,16.52,17.8,21.11
17,73,90,0.405,Clay,"4""",20.49,28.38,24.75,33.83
18,79,104,0.382,Clay,"4""",24.62,24.73,25.24,28.39
19,66,89,0.455,Clay,"4""",16.42,19.83,20.61,23.9
20,47,54,0.458,Sand,"4""",6.64,15.66,16.9,19.84
21,103,33,0.351,Clay,"4""",6.03,16.25,16.38,20.01
22,40,41,0.485,Sand,"4""",8.6,19.87,23.38,28.64
23,44,61,0.401,Sand,"4""",6.9,17.66,19.18,22.88
24,43,89,0.696,Sand,"4""",11.04,18.87,20.55,25.42
25,101,51,0.477,Sand,"4""",10.03,19.84,22.57,26.16
26,106,55,0.403,Clay,"4""",14.04,22.15,22.8,26.0
27,100,12,0.32,Sand,"4""",6.18,15.41,19.28,19.5
28,63,69,0.624,Sand,"4""",7.13,17.93,18.86,21.27
29,77,21,0.478,Clay,"4""",11.71,17.11,20.44,21.88
30,44,50,0.393,Sand,"4""",9.46,19.61,23.01,25.99
31,2,9,0.392,Sand,"2""",5.68,12.72,15.85,16.3
32,63,61,0.588,Sand,"4""",6.62,17.86,19.14,22.89
33,86,24,0.526,Clay,"4""",14.21,18.97,20.85,24.66
34,11,75,0.471,Sand,"2""",6.53,16.67,18.23,19.71
35,97,103,0.351,Sand,"2""",6.65,20.07,21.16,23.43
36,58,4,0.338,Sand,"4""",5.56,13.53,17.48,18.01
37,56,97,0.447,Sand,"4""",6.76,16.38,19.22,19.66
38,92,31,0.341,Clay,"4""",9.65,16.56,20.63,21.91
39,21,88,0.303,Sand,"2""",17.62,19.99,22.64,25.81
40,104,82,0.617,Clay,"4""",24.28,24.64,25.23,29.34
41,19,91,0.368,Sand,"2""",15.2,20.21,23.32,26.03
42,80,71,0.613,Clay,"4""",16.59,17.54,21.98,22.04
43,91,99,0.426,Clay,"4""",10.07,17.26,18.16,21.32
44,70,1,0.489,Clay,"4""",7.73,14.49,17.0,16.47
45,9,20,0.619,Sand,"2""",7.58,15.52,19.44,19.55
46,74,9,0.541,Clay,"4""",13.09,23.84,20.86,30.82
47,58,62,0.485,Sand,"4""",8.26,20.51,22.56,25.47
48,107,6,0.413,Clay,"4""",15.92,22.1,26.31,25.26
49,21,40,0.323,Sand,"2""",9.78,19.41,24.6,27.34
50,23,34,0.595,Sand,"2""",8.01,14.41,18.19,18.17
51,32,20,0.628,Sand,"4""",5.55,14.38,17.07,18.07
52,90,78,0.409,Clay,"4""",21.22,18.76,20.49,25.1
53,105,14,0.414,Clay,"4""",10.96,17.21,19.73,19.89
54,104,54,0.63,Clay,"4""",19.5,25.65,25.99,28.64
55,29,93,0.306,Sand,"2""",5.14,12.17,16.72,15.46
56,77,107,0.316,Clay,"4""",19.45,23.34,23.95,29.07
57,73,68,0.637,Clay,"4""",19.21,31.1,23.66,34.05
58,34,102,0.452,Sand,"4""",6.45,16.38,17.59,21.05
59,82,76,0.45,Clay,"4""",14.98,16.69,17.84,23.66
60,70,86,0.435,Clay,"4""",14.38,21.51,20.8,25.87
61,31,96,0.412,Sand,"2""",6.59,14.92,20.04,19.9
62,37,70,0.573,Sand,"4""",5.63,15.74,16.29,17.81
63,15,20,0.348,Sand,"2""",6.95,14.79,19.05,19.26
64,43,82,0.649,Sand,"4""",11.72,17.51,19.08,24.53
65,83,107,0.697,Clay,"4""",21.5,19.52,20.95,26.23
66,63,48,0.621,Sand,"4""",5.47,16.41,17.01,20.05
67,48,53,0.387,Sand,"4""",8.03,17.55,18.45,21.47
68,90,53,0.602,Clay,"4""",15.98,20.62,22.5,26.73
69,31,37,0.638,Sand,"2""",5.09,13.44,17.22,18.52
70,20,25,0.346,Sand,"2""",7.89,14.61,19.98,18.96
71,22,101,0.545,Sand,"2""",9.05,17.05,21.39,22.02
72,47,42,0.355,Sand,"4""",5.76,16.05,17.65,21.72
73,106,28,0.56,Clay,"4""",15.46,23.45,24.76,25.55
74,59,65,0.368,Sand,"4""",8.0,22.86,22.08,27.26
75,69,92,0.344,Clay,"4""",14.05,20.66,22.12,23.6
76,90,31,0.444,Clay,"4""",12.13,17.13,21.05,23.5
77,56,17,0.428,Sand,"4""",5.93,13.7,16.1,18.06
78,61,77,0.54,Sand,"4""",10.95,18.05,19.12,23.6
79,12,64,0.51,Sand,"2""",4.48,14.82,16.92,17.57
80,31,38,0.621,Sand,"2""",9.33,13.46,17.24,18.54
81,98,67,0.427,Sand,"2""",7.15,16.45,18.4,17.83
82,80,97,0.328,Clay,"4""",11.14,15.59,21.11,19.77
83,35,35,0.588,Sand,"4""",3.5,12.1,13.6,16.1
84,64,38,0.423,Sand,"4""",9.85,14.38,14.88,17.44
85,85,65,0.486,Clay,"4""",13.93,20.77,20.41,25.67
86,5,50,0.354,Sand,"2""",12.83,17.55,22.09,23.14
87,97,101,0.355,Sand,"2""",6.0,17.51,20.51,22.42
88,29,17,0.465,Sand,"2""",5.95,12.77,17.14,16.66
89,22,40,0.644,Sand,"2""",11.14,17.42,23.15,23.62
90,97,76,0.335,Sand,"2""",8.0,16.06,18.14,20.7
91,105,12,0.492,Clay,"4""",13.52,21.07,23.12,22.94
92,18,81,0.347,Sand,"2""",20.58,25.12,24.95,23.74
93,96,49,0.428,Sand,"2""",10.72,21.02,26.77,26.08
94,59,44,0.639,Sand,"4""",7.28,18.72,20.4,24.48
95,61,11,0.639,Sand,"4""",6.96,16.44,19.11,21.15
96,50,23,0.403,Sand,"4""",9.91,17.48,22.8,22.85
97,78,71,0.654,Clay,"4""",17.46,17.59,18.64,22.1
98,63,2,0.535,Sand,"4""",5.12,13.89,16.14,18.27
99,29,79,0.52,Sand,"2""",15.03,16.22,19.49,20.55
100,14,58,0.689,Sand,"2""",5.4,12.84,16.86,17.65
101,78,3,0.551,Clay,"4""",14.13,13.91,16.29,18.75
102,39,86,0.466,Sand,"4""",16.99,24.95,25.76,28.62
103,46,89,0.491,Sand,"4""",13.02,14.76,17.6,20.6
104,104,28,0.691,Clay,"4""",19.78,26.19,26.93,27.86
105,35,74,0.482,Sand,"4""",11.28,22.16,18.84,29.32
106,9,3,0.399,Sand,"2""",5.2,11.98,15.22,15.28
107,75,48,0.495,Clay,"4""",5.79,16.88,16.53,19.22
108,87,57,0.386,Clay,"4""",11.0,19.73,19.43,19.84
109,41,0,0.515,Sand,"4""",5.11,13.85,17.17,20.29
110,93,64,0.644,Sand,"2""",3.74,12.73,15.35,15.97
111,76,19,0.32,Clay,"4""",9.82,17.55,22.47,22.2
112,24,7,0.377,Sand,"2""",9.19,16.53,22.92,19.27
113,91,49,0.598,Clay,"4""",16.25,22.91,25.98,29.21
114,55,19,0.373,Sand,"4""",9.6,18.3,22.96,22.6
115,29,87,0.382,Sand,"2""",16.15,19.52,21.2,24.03
116,72,106,0.536,Clay,"4""",21.4,22.81,23.17,25.1
117,22,4,0.498,Sand,"2""",7.53,12.39,17.93,16.19
118,37,76,0.313,Sand,"4""",7.28,15.41,16.24,20.16
119,34,75,0.35,Sand,"4""",7.0,17.47,17.33,20.48
120,24,105,0.608,Sand,"2""",13.89,20.28,23.17,22.9
121,45,1,0.477,Sand,"4""",5.33,10.88,14.03,13.81
122,106,107,0.407,Clay,"4""",21.74,26.33,26.93,31.07
123,78,57,0.406,Clay,"4""",11.63,17.77,18.16,18.23
124,71,84,0.571,Clay,"4""",13.6,17.8,18.84,21.49
125,47,30,0.57,Sand,"4""",5.01,12.8,15.71,16.69
126,69,83,0.583,Clay,"4""",14.22,17.67,18.97,21.28
127,74,84,0.56,Clay,"4""",19.34,24.95,21.41,33.51
128,19,44,0.492,Sand,"2""",8.06,17.49,21.44,22.05
