synth_idx,src_a,src_b,lambda,soil,pipe,S_pct,T_pct,M_pct,B_pct
0,99,5,0.694,Sand,"4""",5.45,16.0,18.01,20.97
1,61,105,0.664,Clay,"4""",12.73,20.99,21.02,22.13
2,79,50,0.677,Clay,"4""",17.56,17.54,19.05,23.8
3,57,20,0.532,Sand,"4""",7.94,18.08,21.8,22.33
4,57,100,0.477,Sand,"4""",6.48,18.67,20.11,23.17
5,82,16,0.691,Clay,"4""",16.7,17.3,20.24,23.93
6,76,87,0.385,Clay,"4""",13.88,17.17,23.86,22.4
7,87,75,0.365,Sand,"2""",18.01,17.15,20.47,22.73
8,60,40,0.558,Clay,"4""",7.76,19.01,20.02,22.94
9,55,61,0.699,Sand,"4""",8.0,19.16,20.53,23.59
10,45,52,0.564,Sand,"4""",3.89,14.98,15.41,14.79
11,84,14,0.645,Clay,"4""",12.83,18.84,21.61,22.39
12,61,82,0.549,Clay,"4""",14.58,19.34,20.23,22.91
13,85,32,0.499,Sand,"2""",4.8,11.7,14.25,15.45
14,83,53,0.322,Clay,"4""",15.19,22.59,25.94,24.95
15,64,24,0.466,Clay,"4""",8.39,22.17,26.84,23.03
16,30,27,0.483,Sand,"4""",5.57,15.38,17.11,16.99
17,44,54,0.306,Sand,"4""",8.44,20.45,22.45,26.69
18,57,104,0.62,Sand,"4""",12.51,23.02,23.87,25.43
19,72,21,0.472,Clay,"4""",8.84,15.7,18.99,20.36
20,55,34,0.607,Sand,"4""",6.47,17.03,18.68,22.19
21,67,78,0.565,Clay,"4""",21.85,29.24,23.08,35.14
22,88,84,0.537,Sand,"2""",11.49,18.84,22.47,22.9
23,90,53,0.418,Sand,"2""",10.07,19.77,24.05,21.24
24,12,97,0.696,Sand,"2""",6.79,16.14,18.69,20.38
25,78,8,0.353,Clay,"4""",18.48,31.04,24.26,21.88
26,101,46,0.549,Clay,"4""",5.24,16.22,17.35,19.86
27,57,53,0.401,Sand,"4""",10.59,21.63,24.69,23.18
28,61,94,0.485,Clay,"4""",9.24,19.6,21.46,23.77
29,104,63,0.447,Clay,"4""",14.31,23.57,23.36,24.03
30,52,24,0.594,Sand,"4""",5.98,21.1,24.34,19.21
31,50,54,0.42,Sand,"4""",9.47,20.67,22.46,26.38
32,44,75,0.678,Sand,"4""",11.4,17.27,18.64,22.93
33,87,24,0.39,Sand,"2""",8.57,22.16,29.82,24.1
34,82,29,0.308,Clay,"4""",9.11,14.39,18.77,20.25
35,93,101,0.327,Sand,"4""",6.05,19.96,19.65,23.0
36,39,48,0.622,Sand,"4""",11.95,21.38,25.83,29.73
37,68,23,0.353,Clay,"4""",10.8,19.78,19.28,25.19
38,91,72,0.314,Sand,"2""",8.06,16.0,17.9,20.62
39,5,21,0.509,Sand,"2""",6.41,12.46,17.04,16.1
40,46,92,0.493,Sand,"4""",4.57,11.39,15.55,14.84
41,5,46,0.643,Sand,"2""",3.81,9.42,13.02,12.9
42,31,91,0.492,Sand,"4""",4.57,13.57,16.39,16.52
43,12,34,0.546,Sand,"2""",5.52,13.94,15.91,17.28
44,45,32,0.516,Sand,"4""",4.47,12.55,13.4,15.62
45,75,84,0.464,Clay,"4""",19.72,19.63,21.23,24.59
46,44,104,0.395,Sand,"4""",15.3,24.48,24.57,27.1
47,4,11,0.448,Sand,"2""",5.6,12.58,17.32,16.85
48,36,89,0.554,Sand,"4""",5.06,14.09,16.93,17.79
49,75,88,0.539,Clay,"4""",15.73,16.63,19.88,21.91
50,87,70,0.366,Sand,"2""",15.02,26.34,23.77,34.39
51,45,65,0.348,Sand,"4""",14.78,16.77,17.38,18.55
52,100,46,0.692,Sand,"4""",5.11,15.06,16.92,20.03
53,39,88,0.634,Sand,"4""",10.74,19.94,25.49,27.56
54,6,67,0.406,Sand,"2""",14.19,26.82,21.52,30.33
55,16,15,0.497,Sand,"2""",4.76,11.06,15.41,14.31
56,59,67,0.301,Sand,"4""",17.44,34.56,25.31,38.07
57,11,48,0.371,Sand,"2""",9.25,18.6,22.15,23.86
58,19,53,0.349,Sand,"2""",12.02,21.39,26.33,23.08
59,13,96,0.322,Sand,"2""",6.68,17.84,20.61,23.37
60,33,69,0.328,Sand,"4""",14.45,25.88,20.86,33.37
61,84,95,0.491,Clay,"4""",13.24,21.24,23.6,26.97
62,91,20,0.389,Sand,"2""",7.83,15.92,21.28,20.23
63,18,33,0.305,Sand,"2""",3.5,11.49,13.48,15.52
64,21,24,0.61,Sand,"2""",8.54,18.92,25.61,21.48
65,76,84,0.482,Clay,"4""",19.11,19.44,23.7,24.55
66,28,53,0.48,Sand,"2""",9.64,18.69,23.26,21.77
67,75,74,0.441,Clay,"4""",18.62,17.56,18.33,23.42
68,47,44,0.628,Sand,"4""",4.36,13.76,15.12,18.16
69,56,42,0.366,Sand,"4""",7.18,18.61,20.35,24.8
70,94,38,0.492,Sand,"4""",12.63,24.3,27.64,27.93
71,103,80,0.678,Clay,"4""",23.37,27.37,26.95,31.18
72,79,3,0.694,Clay,"4""",17.07,14.57,17.31,20.57
73,40,50,0.358,Sand,"4""",8.19,19.39,21.27,25.64
74,18,52,0.301,Sand,"2""",4.13,15.83,16.56,14.69
75,3,37,0.653,Sand,"2""",9.71,10.68,14.46,14.14
76,1,31,0.685,Sand,"2""",3.1,9.73,13.02,14.1
77,53,40,0.54,Sand,"4""",9.87,21.68,25.31,26.17
78,40,5,0.568,Sand,"4""",5.34,15.66,19.09,22.42
79,21,98,0.558,Sand,"2""",7.51,16.67,20.68,21.51
80,3,2,0.528,Sand,"2""",6.29,9.36,14.27,12.91
81,13,48,0.627,Sand,"2""",7.64,16.0,19.53,20.42
82,35,84,0.434,Sand,"4""",11.27,18.08,19.61,21.68
83,107,24,0.687,Clay,"4""",15.79,25.34,28.52,28.66
84,99,12,0.667,Sand,"4""",6.23,17.34,19.1,22.24
85,38,66,0.36,Sand,"4""",21.26,36.83,28.25,36.81
86,92,93,0.522,Sand,"2""",5.09,14.31,17.19,16.93
87,74,100,0.553,Clay,"4""",10.97,18.04,18.65,23.6
88,95,88,0.43,Sand,"4""",8.25,18.09,22.4,23.71
89,22,65,0.554,Sand,"2""",14.27,16.61,19.67,19.38
90,86,38,0.507,Sand,"2""",12.32,22.99,29.03,24.32
91,1,85,0.461,Sand,"2""",3.64,9.69,14.04,13.93
92,42,102,0.609,Sand,"4""",12.67,23.04,24.19,26.8
93,105,93,0.357,Clay,"4""",10.53,18.74,19.43,21.24
94,102,49,0.503,Clay,"4""",15.89,24.89,25.73,27.07
95,78,95,0.405,Clay,"4""",14.92,19.06,21.54,27.13
96,102,103,0.421,Clay,"4""",23.81,29.75,29.82,30.63
97,76,8,0.552,Clay,"4""",19.33,26.66,25.41,21.68
98,78,42,0.412,Clay,"4""",13.3,17.8,19.5,25.41
99,88,67,0.551,Sand,"2""",13.51,26.35,23.79,30.28
100,54,12,0.666,Sand,"4""",8.63,19.46,21.89,24.95
101,34,85,0.586,Sand,"4""",4.1,11.99,14.46,15.47
102,104,102,0.403,Clay,"4""",21.5,29.7,29.59,29.54
103,47,66,0.688,Sand,"4""",10.17,21.14,17.39,23.85
104,87,89,0.391,Sand,"2""",7.78,16.37,21.95,20.68
105,40,81,0.561,Sand,"4""",12.92,20.65,22.98,28.82
106,82,20,0.332,Clay,"4""",13.51,18.16,22.8,24.22
107,94,72,0.49,Sand,"4""",9.69,18.86,21.03,25.53
108,67,61,0.321,Clay,"4""",12.33,24.61,20.62,25.83
109,34,44,0.618,Sand,"4""",4.75,14.62,15.79,18.78
110,29,2,0.532,Sand,"2""",4.22,10.37,15.44,14.72
111,36,98,0.356,Sand,"4""",5.11,16.73,18.41,21.71
112,52,91,0.307,Sand,"4""",5.51,15.81,18.83,16.77
113,81,42,0.384,Clay,"4""",12.57,19.69,21.16,26.35
