synth_idx,src_idx,soil,pipe,S_pct,T_pct,M_pct,B_pct,noise_sigma
0,72,Clay,"4""",20.8,19.1,19.5,20.6,0.02
1,13,Sand,"2""",6.0,13.3,17.2,15.8,0.02
2,88,Clay,"4""",21.5,21.6,22.7,28.2,0.02
3,27,Sand,"2""",8.3,25.2,33.6,25.5,0.02
4,71,Clay,"4""",8.5,18.7,19.1,20.2,0.02
5,43,Sand,"4""",6.0,17.9,19.4,23.9,0.02
6,9,Sand,"2""",6.7,14.8,17.5,18.1,0.02
7,104,Clay,"4""",25.5,29.5,29.4,31.6,0.02
8,57,Sand,"4""",4.4,18.3,18.0,14.9,0.02
9,17,Sand,"2""",4.6,10.4,14.3,15.4,0.02
10,107,Clay,"4""",21.5,25.8,26.6,31.6,0.02
11,92,Clay,"4""",16.7,21.9,23.6,25.8,0.02
12,1,Sand,"2""",7.0,9.5,14.6,13.0,0.02
13,17,Sand,"2""",4.6,10.4,14.3,15.4,0.02
14,10,Sand,"2""",7.0,14.0,17.3,17.7,0.02
15,36,Sand,"4""",4.2,13.1,14.4,16.3,0.02
16,43,Sand,"4""",6.0,17.9,19.4,23.9,0.02
17,73,Clay,"4""",21.5,38.8,26.6,42.4,0.02
18,79,Clay,"4""",23.2,17.0,18.5,23.2,0.02
19,66,Clay,"4""",9.0,18.3,17.5,17.9,0.02
20,47,Sand,"4""",3.5,11.6,13.0,15.4,0.02
21,103,Clay,"4""",7.0,22.8,21.9,26.3,0.02
22,40,Sand,"4""",10.3,20.9,25.6,30.7,0.02
23,44,Sand,"4""",6.0,17.0,18.1,21.8,0.02
24,43,Sand,"4""",6.0,17.9,19.4,23.9,0.02
25,101,Sand,"4""",6.0,18.9,20.9,24.8,0.02
26,106,Clay,"4""",22.1,27.1,27.4,30.3,0.02
27,100,Sand,"4""",7.0,19.9,22.0,26.5,0.02
28,63,Sand,"4""",6.0,17.7,18.6,22.4,0.02
29,77,Clay,"4""",15.0,18.0,18.2,23.6,0.02
30,44,Sand,"4""",6.0,17.0,18.1,21.8,0.02
31,2,Sand,"2""",4.1,9.5,13.3,13.5,0.02
32,63,Sand,"4""",6.0,17.7,18.6,22.4,0.02
33,86,Clay,"4""",18.9,22.9,21.8,30.3,0.02
34,11,Sand,"2""",6.0,13.5,17.7,16.8,0.02
35,97,Sand,"2""",6.0,15.0,19.8,18.1,0.02
36,58,Sand,"4""",9.6,21.8,24.1,28.4,0.02
37,56,Sand,"4""",7.7,18.1,18.5,21.6,0.02
38,92,Clay,"4""",16.7,21.9,23.6,25.8,0.02
39,21,Sand,"2""",8.7,16.3,22.5,20.3,0.02
40,104,Clay,"4""",25.5,29.5,29.4,31.6,0.02
41,19,Sand,"2""",10.2,18.0,24.9,22.3,0.02
42,80,Clay,"4""",21.7,16.8,23.8,23.2,0.02
43,91,Clay,"4""",18.1,21.5,22.4,28.2,0.02
44,70,Clay,"4""",8.5,19.7,19.5,20.1,0.02
45,9,Sand,"2""",6.7,14.8,17.5,18.1,0.02
46,74,Clay,"4""",18.5,31.5,23.7,41.6,0.02
47,58,Sand,"4""",9.6,21.8,24.1,28.4,0.02
48,107,Clay,"4""",21.5,25.8,26.6,31.6,0.02
49,21,Sand,"2""",8.7,16.3,22.5,20.3,0.02
50,23,Sand,"2""",8.7,14.9,20.5,18.9,0.02
51,32,Sand,"4""",3.5,13.0,13.8,15.8,0.02
52,90,Clay,"4""",19.8,21.3,23.5,28.0,0.02
53,105,Clay,"4""",21.5,29.1,28.4,29.9,0.02
54,104,Clay,"4""",25.5,29.5,29.4,31.6,0.02
55,29,Sand,"2""",7.5,15.5,20.4,18.1,0.02
56,77,Clay,"4""",15.0,18.0,18.2,23.6,0.02
57,73,Clay,"4""",21.5,38.8,26.6,42.4,0.02
58,34,Sand,"4""",7.0,13.7,14.8,17.1,0.02
59,82,Clay,"4""",22.3,16.8,18.5,25.7,0.02
60,70,Clay,"4""",8.5,19.7,19.5,20.1,0.02
61,31,Sand,"2""",6.0,13.8,19.1,19.9,0.02
62,37,Sand,"4""",3.5,12.8,13.9,16.1,0.02
63,15,Sand,"2""",3.1,11.2,12.4,14.3,0.02
64,43,Sand,"4""",6.0,17.9,19.4,23.9,0.02
65,83,Clay,"4""",21.5,16.8,18.5,23.9,0.02
66,63,Sand,"4""",6.0,17.7,18.6,22.4,0.02
67,48,Sand,"4""",4.6,14.3,14.4,16.2,0.02
68,90,Clay,"4""",19.8,21.3,23.5,28.0,0.02
69,31,Sand,"2""",6.0,13.8,19.1,19.9,0.02
70,20,Sand,"2""",9.0,16.7,22.6,21.9,0.02
71,22,Sand,"2""",11.6,15.5,21.8,19.7,0.02
72,47,Sand,"4""",3.5,11.6,13.0,15.4,0.02
73,106,Clay,"4""",22.1,27.1,27.4,30.3,0.02
74,59,Sand,"4""",8.0,19.7,21.7,26.0,0.02
75,69,Clay,"4""",9.0,18.3,19.3,19.4,0.02
76,90,Clay,"4""",19.8,21.3,23.5,28.0,0.02
77,56,Sand,"4""",7.7,18.1,18.5,21.6,0.02
78,61,Sand,"4""",7.5,18.1,19.9,23.6,0.02
79,12,Sand,"2""",5.8,13.3,18.0,16.2,0.02
80,31,Sand,"2""",6.0,13.8,19.1,19.9,0.02
81,98,Sand,"2""",6.0,14.5,19.2,17.6,0.02
82,80,Clay,"4""",21.7,16.8,23.8,23.2,0.02
83,35,Sand,"4""",3.5,12.1,13.6,16.1,0.02
84,64,Sand,"4""",3.1,16.4,15.8,19.0,0.02
85,85,Clay,"4""",20.2,16.6,18.4,23.2,0.02
86,5,Sand,"2""",14.9,10.7,14.6,13.0,0.02
87,97,Sand,"2""",6.0,15.0,19.8,18.1,0.02
88,29,Sand,"2""",7.5,15.5,20.4,18.1,0.02
89,22,Sand,"2""",11.6,15.5,21.8,19.7,0.02
90,97,Sand,"2""",6.0,15.0,19.8,18.1,0.02
91,105,Clay,"4""",21.5,29.1,28.4,29.9,0.02
92,18,Sand,"2""",16.2,40.8,35.4,24.2,0.02
93,96,Sand,"2""",7.0,15.7,20.7,19.9,0.02
94,59,Sand,"4""",8.0,19.7,21.7,26.0,0.02
95,61,Sand,"4""",7.5,18.1,19.9,23.6,0.02
96,50,Sand,"4""",11.7,21.3,26.2,28.7,0.02
97,78,Clay,"4""",22.2,17.0,18.4,23.1,0.02
98,63,Sand,"4""",6.0,17.7,18.6,22.4,0.02
99,29,Sand,"2""",7.5,15.5,20.4,18.1,0.02
100,14,Sand,"2""",3.5,8.8,13.6,12.8,0.02
101,78,Clay,"4""",22.2,17.0,18.4,23.1,0.02
102,39,Sand,"4""",14.8,27.3,30.3,26.7,0.02
103,46,Sand,"4""",3.1,8.2,11.8,12.0,0.02
104,104,Clay,"4""",25.5,29.5,29.4,31.6,0.02
105,35,Sand,"4""",3.5,12.1,13.6,16.1,0.02
106,9,Sand,"2""",6.7,14.8,17.5,18.1,0.02
107,75,Clay,"4""",7.0,19.5,18.7,22.3,0.02
108,87,Clay,"4""",21.5,22.0,21.7,27.7,0.02
109,41,Sand,"4""",7.0,18.9,21.3,26.7,0.02
110,93,Sand,"2""",4.1,10.7,15.1,14.3,0.02
111,76,Clay,"4""",9.0,16.6,17.3,22.0,0.02
112,24,Sand,"2""",9.0,14.6,19.8,18.4,0.02
113,91,Clay,"4""",18.1,21.5,22.4,28.2,0.02
114,55,Sand,"4""",8.6,18.8,19.7,23.1,0.02
115,29,Sand,"2""",7.5,15.5,20.4,18.1,0.02
116,72,Clay,"4""",20.8,19.1,19.5,20.6,0.02
117,22,Sand,"2""",11.6,15.5,21.8,19.7,0.02
118,37,Sand,"4""",3.5,12.8,13.9,16.1,0.02
119,34,Sand,"4""",7.0,13.7,14.8,17.1,0.02
120,24,Sand,"2""",9.0,14.6,19.8,18.4,0.02
121,45,Sand,"4""",3.5,12.4,13.4,14.7,0.02
122,106,Clay,"4""",22.1,27.1,27.4,30.3,0.02
123,78,Clay,"4""",22.2,17.0,18.4,23.1,0.02
124,71,Clay,"4""",8.5,18.7,19.1,20.2,0.02
125,47,Sand,"4""",3.5,11.6,13.0,15.4,0.02
126,69,Clay,"4""",9.0,18.3,19.3,19.4,0.02
127,74,Clay,"4""",18.5,31.5,23.7,41.6,0.02
128,19,Sand,"2""",10.2,18.0,24.9,22.3,0.02
129,107,Clay,"4""",21.5,25.8,26.6,31.6,0.02
130,16,Sand,"2""",3.5,10.1,13.2,14.2,0.02
131,25,Sand,"2""",7.3,13.5,18.6,17.4,0.02
132,41,Sand,"4""",7.0,18.9,21.3,26.7,0.02
133,81,Clay,"4""",22.9,16.8,19.4,23.5,0.02
134,16,Sand,"2""",3.5,10.1,13.2,14.2,0.02
135,51,Sand,"4""",13.7,20.7,24.1,27.4,0.02
136,99,Sand,"4""",4.1,14.1,15.0,16.2,0.02
137,45,Sand,"4""",3.5,12.4,13.4,14.7,0.02
138,95,Sand,"2""",7.0,16.2,21.5,20.4,0.02
139,64,Sand,"4""",3.1,16.4,15.8,19.0,0.02
140,87,Clay,"4""",21.5,22.0,21.7,27.7,0.02
141,12,Sand,"2""",5.8,13.3,18.0,16.2,0.02
142,42,Sand,"4""",7.0,18.5,20.2,25.2,0.02
143,34,Sand,"4""",7.0,13.7,14.8,17.1,0.02
144,44,Sand,"4""",6.0,17.0,18.1,21.8,0.02
145,29,Sand,"2""",7.5,15.5,20.4,18.1,0.02
146,42,Sand,"4""",7.0,18.5,20.2,25.2,0.02
147,65,Sand,"4""",8.0,24.7,22.3,28.0,0.02
148,50,Sand,"4""",11.7,21.3,26.2,28.7,0.02
149,24,Sand,"2""",9.0,14.6,19.8,18.4,0.02
150,26,Sand,"2""",6.0,11.7,15.5,15.8,0.02
151,5,Sand,"2""",14.9,10.7,14.6,13.0,0.02
152,0,Sand,"2""",3.1,8.5,12.8,13.5,0.02
153,4,Sand,"2""",3.5,9.3,14.1,12.7,0.02
154,29,Sand,"2""",7.5,15.5,20.4,18.1,0.02
155,83,Clay,"4""",21.5,16.8,18.5,23.9,0.02
156,104,Clay,"4""",25.5,29.5,29.4,31.6,0.02
157,73,Clay,"4""",21.5,38.8,26.6,42.4,0.02
158,21,Sand,"2""",8.7,16.3,22.5,20.3,0.02
159,91,Clay,"4""",18.1,21.5,22.4,28.2,0.02
160,16,Sand,"2""",3.5,10.1,13.2,14.2,0.02
161,73,Clay,"4""",21.5,38.8,26.6,42.4,0.02
162,10,Sand,"2""",7.0,14.0,17.3,17.7,0.02
163,5,Sand,"2""",14.9,10.7,14.6,13.0,0.02
164,36,Sand,"4""",4.2,13.1,14.4,16.3,0.02
165,75,Clay,"4""",7.0,19.5,18.7,22.3,0.02
166,65,Sand,"4""",8.0,24.7,22.3,28.0,0.02
167,59,Sand,"4""",8.0,19.7,21.7,26.0,0.02
168,16,Sand,"2""",3.5,10.1,13.2,14.2,0.02
169,103,Clay,"4""",7.0,22.8,21.9,26.3,0.02
170,92,Clay,"4""",16.7,21.9,23.6,25.8,0.02
171,24,Sand,"2""",9.0,14.6,19.8,18.4,0.02
172,87,Clay,"4""",21.5,22.0,21.7,27.7,0.02
173,8,Sand,"2""",7.3,15.9,21.4,19.4,0.02
174,21,Sand,"2""",8.7,16.3,22.5,20.3,0.02
175,89,Clay,"4""",22.6,21.1,23.2,28.9,0.02
176,82,Clay,"4""",22.3,16.8,18.5,25.7,0.02
177,45,Sand,"4""",3.5,12.4,13.4,14.7,0.02
178,37,Sand,"4""",3.5,12.8,13.9,16.1,0.02
179,50,Sand,"4""",11.7,21.3,26.2,28.7,0.02
180,85,Clay,"4""",20.2,16.6,18.4,23.2,0.02
181,77,Clay,"4""",15.0,18.0,18.2,23.6,0.02
182,60,Sand,"4""",7.5,18.8,20.6,24.1,0.02
183,19,Sand,"2""",10.2,18.0,24.9,22.3,0.02
184,8,Sand,"2""",7.3,15.9,21.4,19.4,0.02
185,48,Sand,"4""",4.6,14.3,14.4,16.2,0.02
186,58,Sand,"4""",9.6,21.8,24.1,28.4,0.02
187,86,Clay,"4""",18.9,22.9,21.8,30.3,0.02
188,59,Sand,"4""",8.0,19.7,21.7,26.0,0.02
189,64,Sand,"4""",3.1,16.4,15.8,19.0,0.02
190,23,Sand,"2""",8.7,14.9,20.5,18.9,0.02
191,97,Sand,"2""",6.0,15.0,19.8,18.1,0.02
192,35,Sand,"4""",3.5,12.1,13.6,16.1,0.02
