synth_idx,src_idx,soil,pipe,S_pct,T_pct,M_pct,B_pct,noise_sigma
0,54,Sand,"4""",8.6,18.8,19.7,23.1,0.02
1,97,Sand,"4""",9.9,20.6,23.6,28.1,0.02
2,23,Sand,"2""",9.0,14.6,19.8,18.4,0.02
3,8,Sand,"2""",12.0,19.5,26.1,20.8,0.02
4,59,Sand,"4""",7.5,18.1,19.9,23.6,0.02
5,29,Sand,"2""",7.5,17.6,20.2,18.1,0.02
6,26,Sand,"2""",8.3,21.3,24.8,24.5,0.02
7,67,Clay,"4""",9.0,18.3,19.3,19.4,0.02
8,14,Sand,"2""",3.5,8.8,13.6,12.8,0.02
9,100,Sand,"4""",6.0,18.9,20.9,24.8,0.02
10,86,Clay,"4""",21.5,21.6,22.7,28.2,0.02
11,9,Sand,"2""",9.3,17.7,24.8,19.8,0.02
12,82,Clay,"4""",20.4,16.6,18.5,23.2,0.02
13,67,Clay,"4""",9.0,18.3,19.3,19.4,0.02
14,87,Clay,"4""",22.6,21.1,23.2,28.9,0.02
15,83,Clay,"4""",20.2,16.6,18.4,23.2,0.02
16,25,Sand,"2""",6.0,11.7,15.5,15.8,0.02
17,55,Sand,"4""",4.4,18.3,18.0,14.9,0.02
18,49,Sand,"4""",13.5,25.0,31.3,30.7,0.02
19,80,Clay,"4""",22.9,16.8,19.4,23.5,0.02
20,78,Clay,"4""",22.2,17.0,18.4,23.1,0.02
21,95,Sand,"4""",4.1,14.1,15.0,16.2,0.02
22,61,Sand,"4""",3.1,16.4,15.8,19.0,0.02
23,53,Sand,"4""",9.3,19.1,20.2,23.6,0.02
24,55,Sand,"4""",4.4,18.3,18.0,14.9,0.02
25,85,Clay,"4""",21.5,22.0,21.7,27.7,0.02
26,83,Clay,"4""",20.2,16.6,18.4,23.2,0.02
27,5,Sand,"2""",3.5,9.3,14.1,12.7,0.02
28,67,Clay,"4""",9.0,18.3,19.3,19.4,0.02
29,78,Clay,"4""",22.2,17.0,18.4,23.1,0.02
