synth_idx,src_idx,soil,pipe,S_pct,T_pct,M_pct,B_pct,noise_sigma
0,54,Sand,"4""",7.7,18.1,18.5,21.6,0.02
1,70,Clay,"4""",24.9,42.2,27.1,42.5,0.02
2,43,Sand,"4""",7.0,18.9,21.3,26.7,0.02
3,4,Sand,"2""",3.5,8.5,12.3,13.7,0.02
4,62,Sand,"4""",8.0,24.7,22.3,28.0,0.02
5,2,Sand,"2""",5.5,9.2,13.9,12.8,0.02
6,29,Sand,"2""",7.0,14.4,19.3,18.4,0.02
7,90,Sand,"2""",9.0,17.4,23.9,21.9,0.02
8,50,Sand,"4""",11.7,21.3,26.2,28.7,0.02
9,63,Clay,"4""",8.0,17.9,17.8,18.0,0.02
10,104,Clay,"4""",21.5,29.1,28.4,29.9,0.02
11,24,Sand,"2""",8.3,25.2,33.6,25.5,0.02
12,91,Sand,"2""",7.0,16.2,21.5,20.4,0.02
13,81,Clay,"4""",21.5,16.8,18.5,23.9,0.02
14,41,Sand,"4""",10.3,20.9,25.6,30.7,0.02
15,28,Sand,"2""",7.5,17.6,20.2,18.1,0.02
16,29,Sand,"2""",7.0,14.4,19.3,18.4,0.02
17,45,Sand,"4""",5.8,17.4,18.7,22.8,0.02
18,69,Clay,"4""",8.5,18.7,19.1,20.2,0.02
19,48,Sand,"4""",4.6,14.3,14.4,16.2,0.02
20,15,Sand,"2""",4.6,10.4,14.3,15.4,0.02
21,103,Clay,"4""",21.5,30.1,30.4,29.3,0.02
22,42,Sand,"4""",6.2,19.9,23.2,29.3,0.02
23,96,Sand,"4""",10.4,21.2,24.9,29.2,0.02
24,20,Sand,"2""",11.6,15.5,21.8,19.7,0.02
25,30,Sand,"2""",3.1,11.4,16.8,16.4,0.02
26,83,Clay,"4""",20.2,16.6,18.4,23.2,0.02
27,30,Sand,"2""",3.1,11.4,16.8,16.4,0.02
28,96,Sand,"4""",10.4,21.2,24.9,29.2,0.02
29,45,Sand,"4""",5.8,17.4,18.7,22.8,0.02
30,49,Sand,"4""",13.5,25.0,31.3,30.7,0.02
31,0,Sand,"2""",3.5,9.1,12.5,13.2,0.02
32,45,Sand,"4""",5.8,17.4,18.7,22.8,0.02
33,33,Sand,"4""",5.5,12.7,13.4,16.6,0.02
34,59,Sand,"4""",7.5,18.1,19.9,23.6,0.02
35,102,Clay,"4""",7.0,22.8,21.9,26.3,0.02
36,1,Sand,"2""",3.1,8.5,12.8,13.5,0.02
37,90,Sand,"2""",9.0,17.4,23.9,21.9,0.02
38,43,Sand,"4""",7.0,18.9,21.3,26.7,0.02
39,57,Sand,"4""",8.0,19.7,21.7,26.0,0.02
40,50,Sand,"4""",11.7,21.3,26.2,28.7,0.02
41,52,Sand,"4""",10.2,19.6,21.0,24.8,0.02
42,89,Sand,"2""",9.9,18.8,27.8,22.0,0.02
43,102,Clay,"4""",7.0,22.8,21.9,26.3,0.02
44,106,Clay,"4""",21.5,25.8,26.6,31.6,0.02
45,64,Clay,"4""",15.2,17.6,18.5,19.4,0.02
46,75,Clay,"4""",9.0,16.6,17.3,22.0,0.02
47,101,Sand,"4""",6.0,18.1,19.2,23.6,0.02
48,100,Sand,"4""",6.0,18.9,20.9,24.8,0.02
49,107,Clay,"4""",19.2,25.4,26.2,30.1,0.02
50,5,Sand,"2""",4.1,9.5,13.3,13.5,0.02
51,3,Sand,"2""",7.0,9.5,14.6,13.0,0.02
52,62,Sand,"4""",8.0,24.7,22.3,28.0,0.02
53,12,Sand,"2""",7.0,14.0,17.3,17.7,0.02
54,93,Sand,"2""",6.0,14.7,19.2,17.6,0.02
55,82,Clay,"4""",20.4,16.6,18.5,23.2,0.02
56,13,Sand,"2""",6.0,13.3,17.2,15.8,0.02
57,13,Sand,"2""",6.0,13.3,17.2,15.8,0.02
58,11,Sand,"2""",6.7,14.8,17.5,18.1,0.02
59,36,Sand,"4""",4.1,12.9,14.0,16.3,0.02
60,91,Sand,"2""",7.0,16.2,21.5,20.4,0.02
61,32,Sand,"4""",3.1,12.4,13.5,15.4,0.02
62,76,Clay,"4""",8.5,19.0,19.9,25.0,0.02
63,59,Sand,"4""",7.5,18.1,19.9,23.6,0.02
64,65,Clay,"4""",18.1,18.2,18.4,18.6,0.02
65,5,Sand,"2""",4.1,9.5,13.3,13.5,0.02
66,73,Clay,"4""",18.5,31.5,23.7,41.6,0.02
67,48,Sand,"4""",4.6,14.3,14.4,16.2,0.02
68,15,Sand,"2""",4.6,10.4,14.3,15.4,0.02
69,59,Sand,"4""",7.5,18.1,19.9,23.6,0.02
70,65,Clay,"4""",18.1,18.2,18.4,18.6,0.02
71,12,Sand,"2""",7.0,14.0,17.3,17.7,0.02
72,54,Sand,"4""",7.7,18.1,18.5,21.6,0.02
73,36,Sand,"4""",4.1,12.9,14.0,16.3,0.02
74,81,Clay,"4""",21.5,16.8,18.5,23.9,0.02
75,54,Sand,"4""",7.7,18.1,18.5,21.6,0.02
76,3,Sand,"2""",7.0,9.5,14.6,13.0,0.02
77,32,Sand,"4""",3.1,12.4,13.5,15.4,0.02
78,60,Sand,"4""",6.0,17.7,18.6,22.4,0.02
79,45,Sand,"4""",5.8,17.4,18.7,22.8,0.02
80,28,Sand,"2""",7.5,17.6,20.2,18.1,0.02
81,44,Sand,"4""",6.0,17.9,19.4,23.9,0.02
82,35,Sand,"4""",3.5,12.1,13.6,16.1,0.02
83,10,Sand,"2""",7.3,15.9,21.4,19.4,0.02
84,75,Clay,"4""",9.0,16.6,17.3,22.0,0.02
85,63,Clay,"4""",8.0,17.9,17.8,18.0,0.02
86,57,Sand,"4""",8.0,19.7,21.7,26.0,0.02
87,7,Sand,"2""",16.4,38.8,27.4,19.8,0.02
88,72,Clay,"4""",19.8,32.6,24.4,41.8,0.02
89,62,Sand,"4""",8.0,24.7,22.3,28.0,0.02
90,87,Clay,"4""",18.1,21.5,22.4,28.2,0.02
91,8,Sand,"2""",12.0,19.5,26.1,20.8,0.02
92,35,Sand,"4""",3.5,12.1,13.6,16.1,0.02
93,58,Sand,"4""",7.5,18.8,20.6,24.1,0.02
94,14,Sand,"2""",3.1,11.2,12.4,14.3,0.02
95,91,Sand,"2""",7.0,16.2,21.5,20.4,0.02
96,26,Sand,"2""",7.0,18.8,21.4,19.5,0.02
97,31,Sand,"4""",3.5,13.0,13.8,15.8,0.02
98,42,Sand,"4""",6.2,19.9,23.2,29.3,0.02
99,8,Sand,"2""",12.0,19.5,26.1,20.8,0.02
100,18,Sand,"2""",9.0,16.7,22.6,21.9,0.02
101,34,Sand,"4""",7.0,13.7,14.8,17.1,0.02
102,22,Sand,"2""",7.3,13.5,18.6,17.4,0.02
103,45,Sand,"4""",5.8,17.4,18.7,22.8,0.02
104,69,Clay,"4""",8.5,18.7,19.1,20.2,0.02
105,66,Clay,"4""",9.0,18.3,19.3,19.4,0.02
106,93,Sand,"2""",6.0,14.7,19.2,17.6,0.02
107,16,Sand,"2""",16.2,40.8,35.4,24.2,0.02
108,69,Clay,"4""",8.5,18.7,19.1,20.2,0.02
109,0,Sand,"2""",3.5,9.1,12.5,13.2,0.02
110,0,Sand,"2""",3.5,9.1,12.5,13.2,0.02
111,91,Sand,"2""",7.0,16.2,21.5,20.4,0.02
112,40,Sand,"4""",12.9,22.1,27.8,31.7,0.02
113,49,Sand,"4""",13.5,25.0,31.3,30.7,0.02
114,94,Sand,"2""",6.0,14.5,19.2,17.6,0.02
115,61,Sand,"4""",3.1,16.4,15.8,19.0,0.02
116,74,Clay,"4""",7.0,19.5,18.7,22.3,0.02
117,86,Clay,"4""",19.8,21.3,23.5,28.0,0.02
118,71,Clay,"4""",19.6,34.6,26.2,42.4,0.02
119,82,Clay,"4""",20.4,16.6,18.5,23.2,0.02
120,13,Sand,"2""",6.0,13.3,17.2,15.8,0.02
121,93,Sand,"2""",6.0,14.7,19.2,17.6,0.02
122,44,Sand,"4""",6.0,17.9,19.4,23.9,0.02
123,34,Sand,"4""",7.0,13.7,14.8,17.1,0.02
124,17,Sand,"2""",10.2,18.0,24.9,22.3,0.02
125,20,Sand,"2""",11.6,15.5,21.8,19.7,0.02
126,16,Sand,"2""",16.2,40.8,35.4,24.2,0.02
127,1,Sand,"2""",3.1,8.5,12.8,13.5,0.02
128,30,Sand,"2""",3.1,11.4,16.8,16.4,0.02
129,42,Sand,"4""",6.2,19.9,23.2,29.3,0.02
130,102,Clay,"4""",7.0,22.8,21.9,26.3,0.02
131,65,Clay,"4""",18.1,18.2,18.4,18.6,0.02
132,82,Clay,"4""",20.4,16.6,18.5,23.2,0.02
133,61,Sand,"4""",3.1,16.4,15.8,19.0,0.02
134,86,Clay,"4""",19.8,21.3,23.5,28.0,0.02
135,94,Sand,"2""",6.0,14.5,19.2,17.6,0.02
136,97,Sand,"4""",9.9,20.6,23.6,28.1,0.02
