synth_idx,src_idx,soil,pipe,S_pct,T_pct,M_pct,B_pct,noise_sigma
0,9,Sand,"2""",6.7,14.8,17.5,18.1,0.02
1,83,Clay,"4""",21.5,16.8,18.5,23.9,0.02
2,70,Clay,"4""",8.5,18.7,19.1,20.2,0.02
3,47,Sand,"4""",3.5,11.6,13.0,15.4,0.02
4,46,Sand,"4""",3.1,8.2,11.8,12.0,0.02
5,92,Sand,"2""",9.9,18.8,27.8,22.0,0.02
6,9,Sand,"2""",6.7,14.8,17.5,18.1,0.02
7,75,Clay,"4""",19.8,32.6,24.4,41.8,0.02
8,21,Sand,"2""",9.0,14.6,19.8,18.4,0.02
9,10,Sand,"2""",7.0,14.0,17.3,17.7,0.02
10,56,Sand,"4""",7.7,18.1,18.5,21.6,0.02
11,105,Clay,"4""",25.5,29.5,29.4,31.6,0.02
12,79,Clay,"4""",22.2,17.0,18.4,23.1,0.02
13,82,Clay,"4""",22.3,16.8,18.5,25.7,0.02
14,77,Clay,"4""",9.0,16.6,17.3,22.0,0.02
15,84,Clay,"4""",20.4,16.6,18.5,23.2,0.02
16,55,Sand,"4""",8.6,18.8,19.7,23.1,0.02
17,13,Sand,"2""",6.0,13.3,17.2,15.8,0.02
18,90,Clay,"4""",16.7,21.9,23.6,25.8,0.02
19,48,Sand,"4""",4.6,14.3,14.4,16.2,0.02
20,54,Sand,"4""",9.3,19.1,20.2,23.6,0.02
21,40,Sand,"4""",6.2,19.9,23.2,29.3,0.02
22,19,Sand,"2""",8.7,16.3,22.5,20.3,0.02
23,100,Sand,"4""",7.0,19.2,21.4,25.6,0.02
24,84,Clay,"4""",20.4,16.6,18.5,23.2,0.02
25,69,Clay,"4""",8.5,19.7,19.5,20.1,0.02
26,43,Sand,"4""",5.8,17.4,18.7,22.8,0.02
27,88,Clay,"4""",22.6,21.1,23.2,28.9,0.02
28,58,Sand,"4""",13.0,23.2,27.1,23.5,0.02
29,47,Sand,"4""",3.5,11.6,13.0,15.4,0.02
30,48,Sand,"4""",4.6,14.3,14.4,16.2,0.02
31,24,Sand,"2""",8.3,21.3,24.8,24.5,0.02
32,9,Sand,"2""",6.7,14.8,17.5,18.1,0.02
33,59,Sand,"4""",8.0,19.7,21.7,26.0,0.02
34,95,Sand,"2""",6.0,15.0,19.8,18.1,0.02
35,6,Sand,"2""",4.2,10.1,13.7,13.4,0.02
36,92,Sand,"2""",9.9,18.8,27.8,22.0,0.02
37,89,Clay,"4""",18.1,21.5,22.4,28.2,0.02
38,29,Sand,"2""",3.1,11.4,16.8,16.4,0.02
39,68,Clay,"4""",8.5,19.1,19.3,19.3,0.02
40,17,Sand,"2""",16.2,40.8,35.4,24.2,0.02
41,81,Clay,"4""",21.7,16.8,23.8,23.2,0.02
42,75,Clay,"4""",19.8,32.6,24.4,41.8,0.02
43,38,Sand,"4""",12.9,22.1,27.8,31.7,0.02
44,7,Sand,"2""",3.5,9.3,14.1,12.7,0.02
45,104,Clay,"4""",21.5,30.1,30.4,29.3,0.02
46,48,Sand,"4""",4.6,14.3,14.4,16.2,0.02
47,96,Sand,"2""",6.0,14.7,19.2,17.6,0.02
48,73,Clay,"4""",21.5,38.8,26.6,42.4,0.02
49,84,Clay,"4""",20.4,16.6,18.5,23.2,0.02
50,82,Clay,"4""",22.3,16.8,18.5,25.7,0.02
51,21,Sand,"2""",9.0,14.6,19.8,18.4,0.02
52,39,Sand,"4""",10.3,20.9,25.6,30.7,0.02
53,50,Sand,"4""",11.7,21.3,26.2,28.7,0.02
54,53,Sand,"4""",10.2,19.6,21.0,24.8,0.02
55,4,Sand,"2""",3.5,8.5,12.3,13.7,0.02
56,59,Sand,"4""",8.0,19.7,21.7,26.0,0.02
57,16,Sand,"2""",4.6,10.4,14.3,15.4,0.02
58,80,Clay,"4""",23.2,17.0,18.5,23.2,0.02
59,73,Clay,"4""",21.5,38.8,26.6,42.4,0.02
60,99,Sand,"4""",9.9,20.6,23.6,28.1,0.02
61,80,Clay,"4""",23.2,17.0,18.5,23.2,0.02
62,39,Sand,"4""",10.3,20.9,25.6,30.7,0.02
